holder_u_id,holder_v_id,jointly_granted_patents,jointly_filed_patents,jointly_granted_patents_per_ipc,jointly_filed_patents_per_ipc
543,2169,20,20,"[0, 20, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
543,14372,8,8,"[0, 8, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
543,5940,16,16,"[0, 16, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
543,126469,10,10,"[0, 10, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
543,183316,4,4,"[0, 4, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
543,122563,4,4,"[0, 4, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
543,94790,4,4,"[0, 4, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
543,290397,4,4,"[0, 4, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
543,305891,8,8,"[0, 8, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
660,959,1,1,"[0, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]"
231,963,1,2,"[0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
975,976,0,1,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
978,979,0,1,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
260,538,3,3,"[0, 0, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0]"
260,3104,1,1,"[0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0]"
260,872,1,1,"[0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0]"
260,54387,1,1,"[0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0]"
260,76160,3,3,"[0, 0, 0, 0, 0, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]"
260,186222,1,1,"[0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0]"
260,224268,2,2,"[0, 0, 0, 0, 0, 0, 0, 2]","[0, 0, 0, 0, 0, 0, 0, 0]"
984,50300,5,5,"[0, 5, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
984,113777,10,10,"[0, 10, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
984,136662,7,7,"[0, 7, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
984,62395,5,5,"[0, 5, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
990,1891,10,10,"[0, 0, 10, 0, 0, 10, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
990,1892,10,10,"[0, 0, 10, 0, 0, 10, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
990,64830,2,2,"[0, 0, 2, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
990,64831,2,2,"[0, 0, 2, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
990,64832,2,2,"[0, 0, 2, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
990,64833,2,2,"[0, 0, 2, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
990,6978,2,2,"[0, 0, 2, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
990,2372,8,8,"[0, 0, 8, 0, 0, 8, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
990,101395,2,2,"[0, 0, 2, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
990,182621,2,2,"[0, 0, 2, 0, 0, 2, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
1027,102826,0,1,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 1]"
1027,7701,0,1,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 1]"
1027,228045,0,2,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 2, 0, 2]"
221,1033,1,1,"[0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
263,1047,2,2,"[0, 2, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
135,1068,12,29,"[8, 3, 2, 0, 0, 0, 0, 1]","[1, 1, 0, 0, 0, 0, 1, 0]"
1074,1075,1,1,"[1, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
1108,1109,0,2,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
1110,1111,0,1,"[0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0]"
1108,1110,0,1,"[0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0]"
1108,1111,0,1,"[0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0]"
615,1126,10,12,"[0, 0, 10, 0, 0, 0, 0, 0]","[0, 0, 2, 0, 0, 0, 0, 0]"
1170,1171,0,1,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
1170,1172,0,1,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
1170,1173,0,1,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
221,1234,0,2,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
986,1239,1,1,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
1253,1254,0,5,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
1257,1258,1,1,"[0, 1, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
1292,1293,0,1,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
1292,1294,0,1,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
1303,1304,0,1,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
222,1322,1,1,"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
231,1410,2,14,"[1, 0, 1, 0, 0, 0, 1, 0]","[8, 0, 2, 1, 0, 0, 0, 0]"
222,231,2,4,"[2, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0]"
222,1410,0,2,"[0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0]"
1438,1439,1,1,"[0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0]"
1446,1447,1,2,"[0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0]"
